T: 15.0239, {'yaw': 93.4375, 'roll': -34.625, 'pitch': 24.75}, {'ax': 9.1, 'ay': -1.36, 'az': 0.9}, {'my': 3.0625, 'mz': -25.875, 'mx': -38.25}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 15.387, {'yaw': 93.3125, 'roll': -37.3125, 'pitch': 25.4375}, {'ax': 9.54, 'ay': -1.25, 'az': 1.81}, {'my': 3.0625, 'mz': -27.6875, 'mx': -35.6875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 15.449, {'yaw': 140.188, 'roll': 77.875, 'pitch': 39.375}, {'ax': 8.61, 'ay': -2.66, 'az': 3.28}, {'my': 3.5, 'mz': -28.875, 'mx': -36.75}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 15.6899, {'yaw': 172.25, 'roll': 77.3125, 'pitch': 47.75}, {'ax': 8.84, 'ay': -2.17, 'az': 2.11}, {'my': 3.0, 'mz': -28.0625, 'mx': -37.0625}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 15.9559, {'yaw': 206.0, 'roll': 89.125, 'pitch': -179.125}, {'ax': 6.92, 'ay': 1.51, 'az': 1.0}, {'my': -8.0, 'mz': -19.5, 'mx': -39.375}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 16.385, {'yaw': 212.375, 'roll': 86.875, 'pitch': -2.9375}, {'ax': 11.34, 'ay': -2.33, 'az': 1.44}, {'my': -6.75, 'mz': -19.875, 'mx': -38.0}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 16.448, {'yaw': 224.438, 'roll': 74.125, 'pitch': -119.563}, {'ax': 9.3, 'ay': 1.47, 'az': -1.27}, {'my': -15.1875, 'mz': -14.0, 'mx': -37.25}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 16.726, {'yaw': 216.938, 'roll': 85.8125, 'pitch': -175.875}, {'ax': 11.4, 'ay': -0.31, 'az': 0.39}, {'my': -14.1875, 'mz': -15.5, 'mx': -38.1875}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 16.9979, {'yaw': 230.688, 'roll': 77.4375, 'pitch': -138.375}, {'ax': 7.28, 'ay': 1.27, 'az': -2.39}, {'my': -12.0625, 'mz': -11.6875, 'mx': -40.375}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 17.381, {'yaw': 233.625, 'roll': 71.9375, 'pitch': -134.063}, {'ax': 9.18, 'ay': 2.71, 'az': -2.71}, {'my': -17.5, 'mz': -7.5625, 'mx': -38.5625}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 17.443, {'yaw': 239.563, 'roll': 68.375, 'pitch': -123.125}, {'ax': 10.8, 'ay': 3.38, 'az': -2.15}, {'my': -23.5, 'mz': -2.75, 'mx': -37.1875}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 17.683, {'yaw': 241.5, 'roll': 67.625, 'pitch': -124.75}, {'ax': 8.07, 'ay': 2.56, 'az': -1.78}, {'my': -22.6875, 'mz': -6.5, 'mx': -36.5}, {'system': 0, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 17.745, {'yaw': 240.0, 'roll': 73.0, 'pitch': -110.188}, {'ax': 8.69, 'ay': 2.98, 'az': -0.97}, {'my': -22.0, 'mz': -9.5625, 'mx': -36.0625}, {'system': 1, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 18.4, {'yaw': 239.438, 'roll': 74.25, 'pitch': -103.688}, {'ax': 10.32, 'ay': 2.06, 'az': -0.09}, {'my': -21.6875, 'mz': -10.6875, 'mx': -37.0}, {'system': 1, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 18.463, {'yaw': 237.125, 'roll': 75.4375, 'pitch': -127.563}, {'ax': 10.29, 'ay': 2.78, 'az': -2.89}, {'my': -21.25, 'mz': -8.5, 'mx': -36.5625}, {'system': 1, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 18.7059, {'yaw': 233.125, 'roll': 76.6875, 'pitch': -145.875}, {'ax': 8.6, 'ay': 0.95, 'az': -1.84}, {'my': -19.0625, 'mz': -7.6875, 'mx': -39.0625}, {'system': 1, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 18.7689, {'yaw': 206.563, 'roll': 76.1875, 'pitch': 145.688}, {'ax': 10.49, 'ay': -1.13, 'az': -0.64}, {'my': -4.5, 'mz': -9.875, 'mx': -43.1875}, {'system': 1, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
